Series_Title,Released_Year,Genre,IMDB_Rating,language
The Mountain Between Us,2017,"Drama, Adventure, Romance",6.655,en
The Prestige,2006,"Drama, Mystery, Science Fiction",8.203,en
Kingdom of Heaven,2005,"Drama, Action, Adventure, History, War",6.986,en
Furious 7,2015,"Action, Adventure, Crime, Drama, Thriller",7.224,en
Napoleon,2023,"History, War, Romance",6.346,en
Dirty Rotten Scoundrels,1988,"Crime, Comedy",7.09,en
The Black Phone,2022,"Horror, Thriller",7.571,en
Wrath of Man,2021,"Action, Crime, Thriller",7.612,en
Her,2013,"Romance, Science Fiction, Drama",7.849,en
Blade Runner,1982,"Science Fiction, Drama, Thriller",7.94,en
The Equalizer 3,2023,"Action, Thriller, Crime",7.309,en
The Emperor's New Groove,2000,"Adventure, Animation, Comedy, Family, Fantasy",7.557,en
A Cure for Wellness,2017,"Horror, Mystery, Science Fiction",6.339,en
The Mummy,1999,"Adventure, Action, Fantasy",6.944,en
Poor Things,2023,"Science Fiction, Romance, Comedy",7.683,en
Iron Man 3,2013,"Action, Adventure, Science Fiction",6.93,en
Predestination,2014,"Science Fiction, Thriller",7.425,en
Captain Marvel,2019,"Action, Adventure, Science Fiction",6.8,en
Challengers,2024,"Drama, Romance",7,en
Madagascar,2005,"Family, Animation, Adventure, Comedy",6.912,en
Fargo,1996,"Crime, Drama, Thriller",7.855,en
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy",7.521,en
The Amazing Spider-Man 2,2014,"Action, Adventure, Science Fiction",6.519,en
Intimacy,2001,"Romance, Drama, Fantasy",6.2,en
Anon,2018,"Science Fiction, Crime, Mystery, Thriller",5.978,en
Jaws,1975,"Horror, Thriller, Adventure",7.669,en
PAW Patrol: The Mighty Movie,2023,"Family, Comedy, Adventure, Animation",7.039,en
Balto,1995,"Family, Animation, Adventure",7.308,en
Shrek Forever After,2010,"Comedy, Adventure, Fantasy, Animation, Family",6.384,en
The Princess and the Frog,2009,"Animation, Romance, Fantasy, Family",7.22,en
Life Itself,2018,"Drama, Romance",7.218,en
Dead Poets Society,1989,Drama,8.302,en
